datekey,Date,Weekname,Day,WeekNr,Month,MonthShort,MonthNr,Quarter,Year
20190101,2019-01-01,Tuesday,1,1,January,Jan,1,1,2019
20190102,2019-01-02,Wednesday,2,1,January,Jan,1,1,2019
20190103,2019-01-03,Thursday,3,1,January,Jan,1,1,2019
20190104,2019-01-04,Friday,4,1,January,Jan,1,1,2019
20190105,2019-01-05,Saturday,5,1,January,Jan,1,1,2019
20190106,2019-01-06,Sunday,6,2,January,Jan,1,1,2019
20190107,2019-01-07,Monday,7,2,January,Jan,1,1,2019
20190108,2019-01-08,Tuesday,8,2,January,Jan,1,1,2019
20190109,2019-01-09,Wednesday,9,2,January,Jan,1,1,2019
20190110,2019-01-10,Thursday,10,2,January,Jan,1,1,2019
20190111,2019-01-11,Friday,11,2,January,Jan,1,1,2019
20190112,2019-01-12,Saturday,12,2,January,Jan,1,1,2019
20190113,2019-01-13,Sunday,13,3,January,Jan,1,1,2019
20190114,2019-01-14,Monday,14,3,January,Jan,1,1,2019
20190115,2019-01-15,Tuesday,15,3,January,Jan,1,1,2019
20190116,2019-01-16,Wednesday,16,3,January,Jan,1,1,2019
20190117,2019-01-17,Thursday,17,3,January,Jan,1,1,2019
20190118,2019-01-18,Friday,18,3,January,Jan,1,1,2019
20190119,2019-01-19,Saturday,19,3,January,Jan,1,1,2019
20190120,2019-01-20,Sunday,20,4,January,Jan,1,1,2019
20190121,2019-01-21,Monday,21,4,January,Jan,1,1,2019
20190122,2019-01-22,Tuesday,22,4,January,Jan,1,1,2019
20190123,2019-01-23,Wednesday,23,4,January,Jan,1,1,2019
20190124,2019-01-24,Thursday,24,4,January,Jan,1,1,2019
20190125,2019-01-25,Friday,25,4,January,Jan,1,1,2019
20190126,2019-01-26,Saturday,26,4,January,Jan,1,1,2019
20190127,2019-01-27,Sunday,27,5,January,Jan,1,1,2019
20190128,2019-01-28,Monday,28,5,January,Jan,1,1,2019
20190129,2019-01-29,Tuesday,29,5,January,Jan,1,1,2019
20190130,2019-01-30,Wednesday,30,5,January,Jan,1,1,2019
20190131,2019-01-31,Thursday,31,5,January,Jan,1,1,2019
20190201,2019-02-01,Friday,1,5,February,Feb,2,1,2019
20190202,2019-02-02,Saturday,2,5,February,Feb,2,1,2019
20190203,2019-02-03,Sunday,3,6,February,Feb,2,1,2019
20190204,2019-02-04,Monday,4,6,February,Feb,2,1,2019
20190205,2019-02-05,Tuesday,5,6,February,Feb,2,1,2019
20190206,2019-02-06,Wednesday,6,6,February,Feb,2,1,2019
20190207,2019-02-07,Thursday,7,6,February,Feb,2,1,2019
20190208,2019-02-08,Friday,8,6,February,Feb,2,1,2019
20190209,2019-02-09,Saturday,9,6,February,Feb,2,1,2019
20190210,2019-02-10,Sunday,10,7,February,Feb,2,1,2019
20190211,2019-02-11,Monday,11,7,February,Feb,2,1,2019
20190212,2019-02-12,Tuesday,12,7,February,Feb,2,1,2019
20190213,2019-02-13,Wednesday,13,7,February,Feb,2,1,2019
20190214,2019-02-14,Thursday,14,7,February,Feb,2,1,2019
20190215,2019-02-15,Friday,15,7,February,Feb,2,1,2019
20190216,2019-02-16,Saturday,16,7,February,Feb,2,1,2019
20190217,2019-02-17,Sunday,17,8,February,Feb,2,1,2019
20190218,2019-02-18,Monday,18,8,February,Feb,2,1,2019
20190219,2019-02-19,Tuesday,19,8,February,Feb,2,1,2019
20190220,2019-02-20,Wednesday,20,8,February,Feb,2,1,2019
20190221,2019-02-21,Thursday,21,8,February,Feb,2,1,2019
20190222,2019-02-22,Friday,22,8,February,Feb,2,1,2019
20190223,2019-02-23,Saturday,23,8,February,Feb,2,1,2019
20190224,2019-02-24,Sunday,24,9,February,Feb,2,1,2019
20190225,2019-02-25,Monday,25,9,February,Feb,2,1,2019
20190226,2019-02-26,Tuesday,26,9,February,Feb,2,1,2019
